Species,Estimated population,Fraction Population in PA1,Fraction Population in PA2,Fraction Population lost 2013,Fraction Population lost 2050 BAU,Fraction Population lost 2050 IGS,Fraction Population lost PA 2013,Fraction Population lost PA 2050 BAU,Fraction Population lost PA 2050 IGS,IUCN2013,IUCN2050BAU,IUCN2050IGS,,,,,last modified 02/07/2015
Trymatococcus amazonicus,263165835.3,0.066744185,0.529063917,0.052849462,0.39678359,0.169537729,0.00114861,0.191230345,0.048809292,,VU,,,,,,
Alexa grandiflora,261568302,0.021,0.430,0.295,0.746,0.384,0.007,0.236,0.038,,EN,VU,,,,,
Helicostylis scabra,261309078,0.092,0.468,0.078,0.388,0.189,0.001,0.154,0.047,,VU,,,,,,
Licania alba,260055579,0.066,0.313,0.026,0.147,0.091,0.001,0.056,0.024,,,,,,,,
Hymenaea courbaril,259028055,0.066,0.392,0.163,0.409,0.220,0.002,0.105,0.024,,VU,,,,,,
Macrolobium bifolium,259000562,0.056,0.506,0.071,0.452,0.185,0.004,0.216,0.048,,VU,,,,,,
Pterocarpus santalinoides,256483091,0.062,0.416,0.139,0.493,0.249,0.005,0.170,0.039,,VU,,,,,,
Eschweilera decolorans,254892100,0.074,0.364,0.034,0.137,0.074,0.001,0.039,0.012,,,,,,,,
Cedrelinga cateniformis,254480797,0.066,0.303,0.302,0.494,0.357,0.007,0.070,0.029,VU,VU,VU,,,,,
Acosmium cardenasii,253631067,0.063,0.264,0.165,0.624,0.413,0.001,0.108,0.020,,EN,VU,,,,,
Mauritiella armata,252061429,0.316,0.243,0.048,0.132,0.089,0.001,0.028,0.017,,,,,,,,
Ocotea guianensis,251763641,0.029,0.311,0.300,0.623,0.361,0.005,0.072,0.014,VU,EN,VU,,,,,
Pouteria procera,250980105,0.100,0.396,0.082,0.360,0.187,0.001,0.114,0.041,,VU,,,,,,
Protium unifoliolatum,249465717,0.038,0.334,0.258,0.602,0.329,0.003,0.103,0.025,,EN,VU,,,,,
Iryanthera lancifolia,249374129,0.084,0.415,0.034,0.164,0.099,0.001,0.057,0.030,,,,,,,,
Trichilia pleeana,248484571.5,0.127210883,0.377605718,0.132064565,0.320717316,0.210157904,0.00239553,0.068583405,0.028009718,,VU,,,,,,
Bertholletia excelsa,248361749,0.061,0.405,0.189,0.630,0.320,0.003,0.213,0.050,,EN,VU,,,,,
Ocotea leucoxylon,247624986,0.017,0.330,0.305,0.600,0.357,0.007,0.057,0.014,VU,EN,VU,,,,,
Pourouma tomentosa,244261242,0.088,0.448,0.036,0.323,0.141,0.001,0.137,0.042,,VU,,,,,,
Inga rubiginosa,244225490,0.059,0.369,0.275,0.577,0.338,0.006,0.174,0.038,,EN,VU,,,,,
Alchornea discolor,240950939,0.078,0.377,0.070,0.340,0.190,0.001,0.089,0.032,,VU,,,,,,
Apeiba membranacea,240679726,0.115,0.348,0.063,0.230,0.147,0.001,0.047,0.024,,,,,,,,
Pourouma mollis,239705592,0.071,0.276,0.348,0.623,0.454,0.019,0.114,0.044,VU,EN,VU,,,,,
Tachigali guianensis,239507601,0.069,0.430,0.101,0.378,0.205,0.001,0.138,0.039,,VU,,,,,,
Iryanthera macrophylla,238917011,0.062,0.464,0.016,0.107,0.057,0.000,0.034,0.015,,,,,,,,
Sapium glandulosum,236307014,0.105,0.344,0.128,0.368,0.209,0.003,0.093,0.030,,VU,,,,,,
Apeiba tibourbou,236144731,0.063,0.280,0.221,0.585,0.292,0.001,0.101,0.021,,EN,,,,,,
Chlorocardium rodiei,236011882,0.048,0.167,0.033,0.170,0.130,0.001,0.035,0.024,,,,,,,,
Licania kunthiana,235658861,0.057,0.348,0.262,0.570,0.311,0.006,0.097,0.019,,EN,VU,,,,,
Micropholis egensis,234241909,0.083,0.360,0.093,0.395,0.215,0.002,0.102,0.035,,VU,,,,,,
Dendrobangia boliviana,232248721,0.089,0.285,0.272,0.515,0.373,0.014,0.100,0.040,,EN,VU,,,,,
Hieronyma alchorneoides,231742339,0.122,0.368,0.067,0.238,0.139,0.001,0.063,0.021,,,,,,,,
Iryanthera sagotiana,231278580,0.180,0.355,0.105,0.429,0.205,0.005,0.191,0.034,,VU,,,,,,
Pseudopiptadenia suaveolens,231122325,0.070,0.344,0.247,0.516,0.319,0.008,0.139,0.036,,EN,VU,,,,,
Pouteria anomala,230363110,0.056,0.537,0.052,0.507,0.231,0.001,0.242,0.076,,EN,,,,,,
Manilkara huberi,230296729,0.068,0.425,0.106,0.500,0.235,0.003,0.204,0.045,,EN,,,,,,
Sapium marmieri,230000621,0.104,0.370,0.136,0.372,0.222,0.003,0.091,0.032,,VU,,,,,,
Sloanea floribunda,229676242,0.086,0.451,0.036,0.244,0.122,0.001,0.089,0.034,,,,,,,,
Micropholis gardneriana,229494833,0.013,0.236,0.418,0.741,0.445,0.010,0.053,0.009,VU,EN,VU,,,,,
Maquira guianensis,228369291,0.098,0.421,0.118,0.447,0.212,0.003,0.188,0.038,,VU,,,,,,
Astronium lecointei,227331792,0.068,0.358,0.232,0.641,0.343,0.003,0.179,0.042,,EN,VU,,,,,
Apeiba glabra,227091163,0.077,0.359,0.220,0.494,0.325,0.011,0.118,0.042,,VU,VU,,,,,
Ouratea discophora,226942330,0.025,0.357,0.258,0.587,0.336,0.004,0.080,0.024,,EN,VU,,,,,
Eschweilera itayensis,226241766,0.107,0.490,0.021,0.078,0.049,0.000,0.024,0.018,,,,,,,,
Couepia paraensis,226057742,0.044,0.474,0.091,0.460,0.226,0.001,0.182,0.038,,VU,,,,,,
Pterocarpus amazonum,225963219,0.094,0.402,0.051,0.285,0.152,0.002,0.081,0.037,,,,,,,,
Zygia juruana,225709430.6,0.075030912,0.396049939,0.071068469,0.349910588,0.1632902,0.001311445,0.124402323,0.031701349,,VU,,,,,,
Schefflera morototoni,223504593,0.087,0.349,0.133,0.401,0.223,0.003,0.113,0.034,,VU,,,,,,
Pera bicolor,222893227,0.067,0.396,0.168,0.504,0.278,0.002,0.148,0.040,,EN,,,,,,
Neea floribunda,222422142,0.063,0.386,0.218,0.539,0.309,0.004,0.161,0.038,,EN,VU,,,,,
Protium opacum,222103726,0.170,0.433,0.037,0.325,0.129,0.001,0.179,0.046,,VU,,,,,,
Oxandra mediocris,221984605,0.143,0.319,0.071,0.314,0.188,0.001,0.065,0.035,,VU,,,,,,
Licania canescens,221618968,0.080,0.357,0.133,0.434,0.232,0.007,0.148,0.043,,VU,,,,,,
Diospyros guianensis,221189657,0.028,0.400,0.129,0.450,0.212,0.002,0.145,0.029,,VU,,,,,,
Oenocarpus distichus,220182249,0.030,0.501,0.246,0.727,0.338,0.006,0.309,0.052,,EN,VU,,,,,
Clathrotropis glaucophylla,219869855,0.107,0.533,0.042,0.197,0.142,0.003,0.088,0.059,,,,,,,,
Ampelocera edentula,219863066,0.080,0.372,0.199,0.457,0.276,0.005,0.110,0.031,,VU,,,,,,
Iryanthera tricornis,219773622,0.094,0.469,0.036,0.150,0.084,0.001,0.050,0.025,,,,,,,,
Eschweilera subglandulosa,219534885,0.085,0.504,0.024,0.086,0.059,0.001,0.027,0.017,,,,,,,,
Caraipa longipedicellata,219433777,0.112,0.629,0.034,0.193,0.104,0.002,0.113,0.056,,,,,,,,
Casearia arborea,218572371,0.068,0.472,0.078,0.373,0.171,0.002,0.161,0.041,,VU,,,,,,
Diplotropis purpurea,218093005,0.072,0.357,0.188,0.503,0.269,0.003,0.122,0.031,,EN,,,,,,
Copaifera multijuga,217782301,0.058,0.444,0.137,0.632,0.288,0.001,0.257,0.062,,EN,,,,,,
Castilla ulei,217738370,0.074,0.370,0.233,0.524,0.304,0.003,0.117,0.028,,EN,VU,,,,,
Pseudolmedia rigida,217334613,0.145,0.285,0.214,0.409,0.283,0.002,0.059,0.019,,VU,,,,,,
Myrciaria floribunda,216124122,0.033,0.327,0.346,0.683,0.407,0.004,0.132,0.025,VU,EN,VU,,,,,
Protium subserratum,216106181,0.068,0.440,0.141,0.388,0.210,0.004,0.121,0.031,,VU,,,,,,
Urera caracasana,216014993.9,0.116899681,0.265515236,0.176649921,0.343046601,0.211911096,0.001151988,0.044060382,0.012894664,,VU,,,,,,
Anadenanthera colubrina,215504633,0.089,0.265,0.213,0.533,0.311,0.001,0.078,0.012,,EN,VU,,,,,
Eschweilera punctata,215273586,0.183,0.487,0.017,0.060,0.046,0.000,0.019,0.020,,,,,,,,
Alexa imperatricis,214354781,0.049,0.441,0.014,0.075,0.038,0.000,0.043,0.019,,,,,,,,
Iryanthera paraensis,213856549,0.065,0.506,0.068,0.385,0.157,0.003,0.192,0.042,,VU,,,,,,
Pseudoxandra polyphleba,213496684,0.063,0.379,0.045,0.183,0.093,0.001,0.052,0.017,,,,,,,,
Alchornea triplinervia,213244290,0.054,0.454,0.070,0.409,0.231,0.003,0.122,0.058,,VU,,,,,,
Micrandra siphonioides,211722610,0.112,0.465,0.022,0.132,0.084,0.001,0.042,0.026,,,,,,,,
Protium nodulosum,211353969,0.096,0.431,0.048,0.153,0.102,0.001,0.043,0.028,,,,,,,,
Sarcaulus brasiliensis,210959046,0.095,0.424,0.118,0.418,0.220,0.004,0.156,0.044,,VU,,,,,,
Miconia punctata,210578495,0.036,0.359,0.218,0.495,0.293,0.003,0.067,0.024,,VU,,,,,,
Thyrsodium spruceanum,210319189,0.043,0.349,0.286,0.633,0.381,0.009,0.154,0.040,,EN,VU,,,,,
Tachigali venusta,210282424,0.073,0.399,0.065,0.400,0.202,0.001,0.149,0.049,,VU,,,,,,
Xylopia frutescens,209719822.4,0.039399134,0.34162454,0.24426063,0.61569263,0.350032244,0.001266605,0.111758624,0.024290915,,EN,VU,,,,,
Enterolobium schomburgkii,209394416,0.065,0.379,0.130,0.362,0.199,0.002,0.105,0.026,,VU,,,,,,
Myrcia amazonica,208751760,0.028,0.299,0.176,0.514,0.268,0.001,0.079,0.019,,EN,,,,,,
Theobroma obovatum,207692513,0.060,0.488,0.020,0.147,0.073,0.000,0.055,0.025,,,,,,,,
Sacoglottis mattogrossensis,206230535,0.090,0.337,0.222,0.547,0.316,0.002,0.126,0.033,,EN,VU,,,,,
Inga lateriflora,206053627,0.040,0.254,0.286,0.616,0.362,0.000,0.087,0.019,,EN,VU,,,,,
Trattinnickia glaziovii,205291753.4,0.031435605,0.339986328,0.270660446,0.59796794,0.33689481,0.004965971,0.087456761,0.020814673,,EN,VU,,,,,
Trattinnickia rhoifolia,204877407.7,0.036432518,0.352335894,0.252078026,0.629580139,0.361310973,0.003810453,0.14063718,0.034984903,,EN,VU,,,,,
Garcinia madruno,204806844,0.066,0.382,0.051,0.299,0.146,0.001,0.095,0.030,,,,,,,,
Drypetes variabilis,204724603,0.097,0.322,0.126,0.314,0.196,0.004,0.082,0.023,,VU,,,,,,
Inga marginata,204549775,0.112,0.354,0.192,0.437,0.258,0.003,0.109,0.029,,VU,,,,,,
Leptolobium nitens,204428628,0.052,0.325,0.257,0.595,0.329,0.006,0.098,0.023,,EN,VU,,,,,
Mollia gracilis,204315627,0.046,0.476,0.172,0.650,0.247,0.002,0.244,0.016,,EN,,,,,,
Rinorea riana,201631031,0.024,0.510,0.212,0.664,0.346,0.005,0.266,0.083,,EN,VU,,,,,
Heterostemon mimosoides,201362857,0.076,0.464,0.018,0.233,0.120,0.001,0.084,0.036,,,,,,,,
Mora excelsa,200882699,0.032,0.234,0.023,0.096,0.073,0.001,0.023,0.015,,,,,,,,
Protium rhoifolium,200363508,0.130,0.322,0.092,0.291,0.163,0.001,0.078,0.029,,,,,,,,
Simaba cedron,199959234,0.065,0.419,0.142,0.527,0.245,0.004,0.213,0.041,,EN,,,,,,
Terminalia amazonia,199552112,0.113,0.334,0.092,0.274,0.158,0.003,0.066,0.024,,,,,,,,
Pachira insignis,199487610,0.091,0.462,0.046,0.291,0.124,0.001,0.127,0.031,,,,,,,,
Pouteria gongrijpii,198877902,0.086,0.478,0.134,0.569,0.248,0.005,0.270,0.055,,EN,,,,,,
Guatteria poeppigiana,198608230,0.038,0.435,0.246,0.637,0.339,0.007,0.231,0.052,,EN,VU,,,,,
Lecythis prancei,197843809,0.062,0.427,0.031,0.425,0.177,0.000,0.179,0.052,,VU,,,,,,
Dicymbe uaiparuensis,196799307,0.059,0.476,0.033,0.137,0.080,0.001,0.048,0.028,,,,,,,,
Zygia cauliflora,196708723,0.056235025,0.464218298,0.172241624,0.671576795,0.264962437,0.002180863,0.247176975,0.021065,,EN,,,,,,
Protium divaricatum,196403715,0.118,0.503,0.050,0.224,0.134,0.003,0.083,0.041,,,,,,,,
Pterocarpus officinalis,195700280,0.069,0.388,0.112,0.463,0.231,0.004,0.169,0.040,,VU,,,,,,
Poraqueiba guianensis,195217027,0.067,0.198,0.400,0.704,0.530,0.021,0.106,0.047,VU,EN,EN,,,,,
Hevea nitida,194681742,0.174,0.477,0.028,0.088,0.063,0.001,0.030,0.025,,,,,,,,
Myrcia multiflora,192452563,0.011,0.352,0.310,0.631,0.371,0.007,0.074,0.021,VU,EN,VU,,,,,
Tachigali poeppigiana,192242541,0.091,0.393,0.097,0.323,0.189,0.001,0.097,0.026,,VU,,,,,,
Pseudosenefeldera inclinata,192228328,0.092,0.392,0.045,0.123,0.096,0.001,0.024,0.020,,,,,,,,
Licania longistyla,192004275,0.071,0.488,0.040,0.298,0.125,0.001,0.122,0.034,,,,,,,,
Cordia bicolor,191546459,0.046,0.389,0.227,0.450,0.276,0.005,0.113,0.030,,VU,,,,,,
Hydrochorea corymbosa,190578055,0.097,0.390,0.075,0.361,0.177,0.002,0.124,0.035,,VU,,,,,,
Anaueria brasiliensis,190080108,0.027,0.414,0.011,0.064,0.028,0.000,0.018,0.008,,,,,,,,
Trichilia septentrionalis,189422359.4,0.07003253,0.372152501,0.142302189,0.402606668,0.238813816,0.003746072,0.109811617,0.035267426,,VU,,,,,,
Licania macrophylla,188973332,0.065,0.459,0.100,0.583,0.266,0.003,0.235,0.049,,EN,,,,,,
Cordia exaltata,188943536,0.061,0.431,0.173,0.530,0.283,0.005,0.184,0.046,,EN,,,,,,
Lecythis lurida,187419941,0.029,0.430,0.263,0.704,0.373,0.006,0.239,0.041,,EN,VU,,,,,
Couratari stellata,187328811,0.095,0.435,0.055,0.426,0.179,0.001,0.211,0.050,,VU,,,,,,
Nectandra amazonum,187148680,0.055,0.408,0.026,0.303,0.159,0.000,0.104,0.039,,VU,,,,,,
Duguetia spixiana,186996817,0.145,0.305,0.102,0.264,0.171,0.002,0.056,0.028,,,,,,,,
Tabebuia aurea,186892014,0.167,0.307,0.094,0.189,0.129,0.001,0.047,0.025,,,,,,,,
Peltogyne catingae,185545382,0.112,0.400,0.116,0.565,0.258,0.001,0.224,0.069,,EN,,,,,,
Dicorynia guianensis,184941632,0.176,0.213,0.015,0.218,0.111,0.000,0.104,0.030,,,,,,,,
Eschweilera rufifolia,184854232,0.114,0.429,0.036,0.108,0.076,0.001,0.026,0.019,,,,,,,,
Ormosia paraensis,184715802,0.089,0.404,0.155,0.498,0.262,0.003,0.153,0.042,,VU,,,,,,
Tachigali myrmecophila,184141979,0.066,0.424,0.194,0.631,0.315,0.008,0.233,0.043,,EN,VU,,,,,
Protium robustum,184019391,0.119,0.355,0.132,0.451,0.215,0.002,0.175,0.038,,VU,,,,,,
Cynometra marginata,183697521,0.058,0.492,0.159,0.587,0.229,0.002,0.224,0.018,,EN,,,,,,
Mouriri grandiflora,183308087,0.107,0.496,0.062,0.242,0.135,0.003,0.097,0.040,,,,,,,,
Tapura amazonica,183275083,0.059,0.445,0.084,0.470,0.217,0.001,0.198,0.055,,VU,,,,,,
Eschweilera ovalifolia,183080796,0.055,0.387,0.013,0.103,0.049,0.000,0.031,0.012,,,,,,,,
Poulsenia armata,183037161,0.173,0.196,0.179,0.393,0.260,0.003,0.062,0.028,,VU,,,,,,
Caraipa utilis,182904107,0.036,0.376,0.058,0.073,0.071,0.001,0.024,0.025,,,,,,,,
Matisia cordata,182898007,0.159,0.419,0.062,0.254,0.146,0.001,0.069,0.032,,,,,,,,
Lueheopsis rosea,182230201,0.062,0.399,0.067,0.397,0.190,0.001,0.155,0.044,,VU,,,,,,
Iryanthera hostmannii,181858233,0.096,0.513,0.022,0.134,0.067,0.001,0.048,0.019,,,,,,,,
Casearia javitensis,181510584,0.094,0.443,0.090,0.430,0.198,0.002,0.198,0.049,,VU,,,,,,
Dipteryx odorata,181304564,0.067,0.424,0.149,0.555,0.278,0.003,0.199,0.052,,EN,,,,,,
Brosimum acutifolium,181106576,0.063,0.401,0.205,0.495,0.278,0.004,0.152,0.036,,VU,,,,,,
Caraipa punctulata,180467554,0.150,0.548,0.019,0.067,0.055,0.000,0.023,0.025,,,,,,,,
Protium pallidum,180436534,0.071,0.309,0.396,0.727,0.483,0.025,0.185,0.049,VU,EN,VU,,,,,
Sorocea steinbachii,180186794,0.114,0.372,0.055,0.208,0.128,0.002,0.054,0.028,,,,,,,,
Theobroma sylvestre,180066345,0.034,0.536,0.056,0.592,0.233,0.001,0.289,0.067,,EN,,,,,,
Endopleura uchi,180008934,0.030,0.474,0.209,0.636,0.337,0.004,0.241,0.069,,EN,VU,,,,,
Unonopsis floribunda,179709621.1,0.154404831,0.341658016,0.080514826,0.258715961,0.162358931,0.002032532,0.058392917,0.029926573,,,,,,,,
Hevea pauciflora,177657410,0.106,0.527,0.030,0.131,0.077,0.001,0.060,0.033,,,,,,,,
Pouteria glomerata,177192129,0.090,0.362,0.150,0.386,0.220,0.002,0.102,0.025,,VU,,,,,,
Pourouma ovata,176989545,0.061,0.400,0.041,0.415,0.199,0.001,0.155,0.054,,VU,,,,,,
Warszewiczia coccinea,176863233.7,0.077667477,0.371349975,0.057823838,0.343458039,0.203692429,0.001709335,0.084493949,0.038173702,,VU,,,,,,
Glycydendron amazonicum,176409760,0.075,0.432,0.117,0.472,0.220,0.002,0.184,0.042,,VU,,,,,,
Casearia gossypiosperma,175850214,0.102,0.279,0.172,0.451,0.291,0.001,0.072,0.016,,VU,,,,,,
Lacistema aggregatum,175752802,0.088,0.405,0.087,0.341,0.182,0.002,0.117,0.038,,VU,,,,,,
Protium guianense,175729666,0.089,0.549,0.056,0.358,0.151,0.002,0.192,0.053,,VU,,,,,,
Erisma calcaratum,175680531,0.064,0.413,0.024,0.244,0.103,0.001,0.076,0.020,,,,,,,,
Amanoa guianensis,175297323,0.102,0.432,0.041,0.444,0.217,0.000,0.166,0.053,,VU,,,,,,
Poincianella pluviosa,175075553,0.089,0.252,0.189,0.520,0.340,0.001,0.079,0.014,,EN,VU,,,,,
Euterpe catinga,174834896,0.050,0.450,0.045,0.163,0.099,0.002,0.060,0.036,,,,,,,,
Brosimum parinarioides,172791523,0.067,0.478,0.069,0.548,0.240,0.001,0.249,0.072,,EN,,,,,,
Roucheria columbiana,171503617,0.090,0.451,0.056,0.339,0.170,0.001,0.133,0.043,,VU,,,,,,
Eschweilera andina,171174848,0.069,0.461,0.034,0.136,0.082,0.001,0.039,0.024,,,,,,,,
Cecropia distachya,170556114,0.071,0.324,0.276,0.546,0.358,0.010,0.117,0.037,,EN,VU,,,,,
Nectandra cuspidata,170265549,0.030,0.311,0.316,0.640,0.390,0.005,0.095,0.021,VU,EN,VU,,,,,
Guatteria schomburgkiana,169898242,0.067,0.400,0.177,0.447,0.240,0.004,0.119,0.027,,VU,,,,,,
Pouteria hispida,169680818,0.082,0.471,0.111,0.397,0.202,0.002,0.152,0.040,,VU,,,,,,
Calycophyllum spruceanum,169459865,0.112,0.386,0.076,0.357,0.152,0.001,0.131,0.026,,VU,,,,,,
Otoba glycycarpa,168896320,0.077,0.364,0.041,0.158,0.108,0.001,0.025,0.015,,,,,,,,
Crateva tapia,168735136,0.063,0.331,0.049,0.355,0.199,0.000,0.082,0.024,,VU,,,,,,
Licaria cannella,168460448,0.123,0.431,0.047,0.349,0.151,0.001,0.165,0.037,,VU,,,,,,
Tachigali rugosa,167854186,0.048,0.327,0.135,0.460,0.272,0.002,0.097,0.028,,VU,,,,,,
Trichilia cipo,167648680.2,0.028689563,0.541509716,0.118343622,0.633495406,0.254566049,0.002013207,0.318459318,0.0618069,,EN,,,,,,
Elaeoluma glabrescens,167569472,0.149,0.508,0.028,0.103,0.073,0.001,0.043,0.032,,,,,,,,
Coccoloba densifrons,167359971,0.120,0.380,0.062,0.248,0.155,0.002,0.066,0.035,,,,,,,,
Campsiandra laurifolia,166925545,0.033,0.424,0.181,0.692,0.339,0.004,0.257,0.034,,EN,VU,,,,,
Bocoa viridiflora,166892607,0.058,0.484,0.036,0.461,0.210,0.000,0.209,0.068,,VU,,,,,,
Lecythis retusa,166221993,0.030,0.205,0.364,0.760,0.446,0.000,0.094,0.017,VU,EN,VU,,,,,
Cordia nodosa,165884491,0.085,0.412,0.053,0.266,0.137,0.002,0.087,0.033,,,,,,,,
Guapira venosa,165538415,0.038,0.455,0.209,0.734,0.300,0.003,0.258,0.022,,EN,VU,,,,,
Pouteria filipes,165497035,0.070,0.497,0.075,0.570,0.240,0.002,0.275,0.071,,EN,,,,,,
Ocotea longifolia,164739797,0.050,0.405,0.235,0.595,0.307,0.004,0.198,0.038,,EN,VU,,,,,
Matisia malacocalyx,164013803,0.105,0.337,0.059,0.151,0.116,0.001,0.025,0.021,,,,,,,,
Rinorea viridifolia,163813460,0.151,0.325,0.088,0.402,0.225,0.002,0.091,0.033,,VU,,,,,,
Vitex cymosa,163722628.3,0.052514816,0.388145967,0.05224094,0.537390613,0.24466236,0.00051784,0.189269412,0.053700198,,EN,,,,,,
Campsiandra comosa,163091072,0.073,0.397,0.063,0.354,0.176,0.001,0.137,0.041,,VU,,,,,,
Protium crassipetalum,161366107,0.115,0.536,0.042,0.179,0.116,0.003,0.072,0.043,,,,,,,,
Digomphia densicoma,161212632,0.161,0.584,0.012,0.036,0.037,0.000,0.016,0.023,,,,,,,,
Tapura juruana,161140816,0.097,0.308,0.067,0.291,0.162,0.001,0.071,0.027,,,,,,,,
Ficus maxima,160871751,0.116,0.401,0.131,0.469,0.228,0.003,0.173,0.032,,VU,,,,,,
Matayba inelegans,160694240,0.107,0.381,0.061,0.138,0.105,0.002,0.055,0.039,,,,,,,,
Swartzia schomburgkii,160567335,0.108,0.396,0.026,0.225,0.126,0.001,0.076,0.033,,,,,,,,
Paypayrola grandiflora,160556805,0.039,0.453,0.096,0.520,0.249,0.005,0.220,0.064,,EN,,,,,,
Licania buxifolia,160213996,0.050,0.168,0.034,0.177,0.134,0.001,0.037,0.025,,,,,,,,
Swartzia recurva,159160176,0.030,0.484,0.045,0.543,0.227,0.001,0.255,0.072,,EN,,,,,,
Naucleopsis ulei,158881540,0.083,0.433,0.075,0.344,0.173,0.001,0.131,0.042,,VU,,,,,,
Perebea guianensis,158865190,0.108,0.374,0.083,0.279,0.166,0.002,0.078,0.024,,,,,,,,
Chaetocarpus echinocarpus,158374901,0.011,0.299,0.337,0.644,0.384,0.005,0.044,0.011,VU,EN,VU,,,,,
Perebea mollis,157678450,0.066,0.390,0.110,0.430,0.222,0.001,0.143,0.038,,VU,,,,,,
Hevea spruceana,157586448,0.055,0.407,0.026,0.301,0.129,0.000,0.110,0.029,,VU,,,,,,
Tapura guianensis,156900346,0.066,0.374,0.028,0.212,0.121,0.000,0.072,0.029,,,,,,,,
Fusaea longifolia,156626825,0.117,0.407,0.099,0.449,0.233,0.005,0.183,0.061,,VU,,,,,,
Perebea xanthochyma,156614354,0.148,0.279,0.079,0.218,0.143,0.002,0.031,0.022,,,,,,,,
Pradosia schomburgkiana,156276257,0.073,0.416,0.031,0.331,0.182,0.001,0.121,0.053,,VU,,,,,,
Piranhea trifoliata,156147009,0.064,0.403,0.049,0.400,0.173,0.001,0.151,0.041,,VU,,,,,,
Croton matourensis,156146420,0.112,0.327,0.087,0.326,0.165,0.002,0.092,0.028,,VU,,,,,,
Maquira sclerophylla,155925478,0.051,0.468,0.155,0.666,0.304,0.002,0.269,0.066,,EN,VU,,,,,
Matayba elaeagnoides,155804983,0.006,0.244,0.333,0.701,0.424,0.000,0.026,0.003,VU,EN,VU,,,,,
Inga nobilis,155772159,0.088,0.395,0.149,0.366,0.218,0.004,0.096,0.030,,VU,,,,,,
Chrysophyllum argenteum,155266237,0.110,0.373,0.046,0.216,0.113,0.002,0.076,0.024,,,,,,,,
Capirona decorticans,155051317,0.085,0.330,0.133,0.413,0.243,0.002,0.097,0.027,,VU,,,,,,
Parkia igneiflora,154506501,0.057,0.382,0.060,0.183,0.126,0.003,0.057,0.039,,,,,,,,
Trichilia schomburgkii,154396825.8,0.082075447,0.425424273,0.143696231,0.506711328,0.283741465,0.005541761,0.185489648,0.066555637,,EN,,,,,,
Xylopia benthamii,153982579.8,0.062190529,0.415031127,0.131401165,0.422639361,0.224770548,0.001633363,0.113013375,0.036492086,,VU,,,,,,
Parinari excelsa,153482479,0.070,0.439,0.049,0.392,0.160,0.001,0.174,0.041,,VU,,,,,,
Sorocea briquetii,153132462,0.175,0.377,0.046,0.310,0.178,0.001,0.074,0.036,,VU,,,,,,
Guazuma ulmifolia,153123724,0.093,0.365,0.175,0.436,0.249,0.005,0.121,0.025,,VU,,,,,,
Licania egleri,152807181,0.073,0.447,0.082,0.327,0.172,0.003,0.102,0.035,,VU,,,,,,
Pseudopiptadenia psilostachya,152775941,0.094,0.303,0.291,0.608,0.412,0.016,0.147,0.051,,EN,VU,,,,,
Eschweilera micrantha,152191261,0.094,0.374,0.054,0.413,0.191,0.001,0.179,0.046,,VU,,,,,,
Micrandra glabra,152096308,0.093,0.472,0.018,0.096,0.040,0.000,0.038,0.014,,,,,,,,
Oenocarpus mapora,152060053.6,0.0863504,0.352184739,0.081448795,0.347297552,0.204382483,0.002035406,0.077278681,0.031804201,,,,,,,,
Ilex inundata,152022662,0.091,0.346,0.023,0.182,0.086,0.000,0.039,0.005,,,,,,,,
Tapirira obtusa,151279582,0.095,0.384,0.161,0.385,0.243,0.007,0.101,0.035,,VU,,,,,,
Theobroma glaucum,150728785,0.096,0.415,0.087,0.337,0.205,0.001,0.129,0.062,,VU,,,,,,
Protium goudotianum,150720074,0.094,0.379,0.186,0.402,0.232,0.002,0.095,0.021,,VU,,,,,,
Henriquezia nitida,149605074,0.114,0.618,0.033,0.193,0.100,0.002,0.114,0.054,,,,,,,,
Maquira calophylla,149455064,0.078,0.448,0.074,0.361,0.175,0.001,0.142,0.038,,VU,,,,,,
Ocotea porosa,149218159,0.006,0.244,0.332,0.701,0.424,0.000,0.026,0.003,VU,EN,VU,,,,,
Swartzia cardiosperma,148746419,0.141,0.435,0.065,0.385,0.156,0.002,0.179,0.039,,VU,,,,,,
Astrocaryum chambira,147394742,0.126,0.311,0.064,0.199,0.108,0.003,0.033,0.020,,,,,,,,
Bellucia grossularioides,146756924,0.053,0.328,0.259,0.639,0.363,0.005,0.153,0.039,,EN,VU,,,,,
Hymenaea parvifolia,145946162,0.042,0.423,0.236,0.636,0.347,0.004,0.210,0.046,,EN,VU,,,,,
Licania lata,145392862,0.064,0.431,0.086,0.408,0.206,0.001,0.151,0.044,,VU,,,,,,
Protium grandifolium,145359971,0.070,0.440,0.050,0.428,0.226,0.001,0.147,0.049,,VU,,,,,,
Crudia amazonica,145121804,0.053,0.443,0.062,0.387,0.165,0.001,0.167,0.032,,VU,,,,,,
Guarea gomma,145113222,0.174,0.355,0.060,0.270,0.138,0.001,0.099,0.023,,,,,,,,
Clarisia biflora,145069380,0.150,0.314,0.079,0.282,0.178,0.002,0.061,0.030,,,,,,,,
Gustavia pulchra,144569678,0.140,0.584,0.037,0.150,0.097,0.003,0.071,0.046,,,,,,,,
Hirtella bicornis,144544987,0.074,0.419,0.156,0.504,0.258,0.003,0.159,0.035,,EN,,,,,,
Tachigali micropetala,144144906,0.084,0.451,0.111,0.540,0.266,0.001,0.221,0.064,,EN,,,,,,
